Probe Name;20240604_30103010090426-01_Sample01_01.RCC;20240604_30103010090426-01_Sample02_02.RCC;20240604_30103010090426-01_Sample04_04.RCC;20240604_30103010090426-01_Sample06_06.RCC;20240604_30103010090426-01_Sample07_07.RCC;20240604_30103010090426-01_Sample08_08.RCC;20240604_30103010090426-01_Sample09_09.RCC;20240604_30103010090426-01_Sample10_10.RCC;20240604_30103010090426-01_Sample11_11.RCC;20240604_30103010090426-01_Sample12_12.RCC
hsa-miR-374a-5p;80;112;72;74;72;65;97;75;104;79
hsa-miR-374b-5p;44;68;28;33;40;57;37;24;39;30
hsa-miR-374c-5p;26;37;23;25;26;38;24;30;19;27
hsa-miR-375;29;38;30;37;31;36;33;26;27;26
hsa-miR-376a-2-5p;56;44;41;33;36;28;39;37;18;22
hsa-miR-376a-3p;48;78;75;76;65;76;83;69;68;53
hsa-miR-376b-3p;17;29;27;20;23;28;23;26;17;18
hsa-miR-376c-3p;16;37;33;31;35;22;28;22;25;26
hsa-miR-376c-5p;30;15;19;14;23;16;20;18;19;15
hsa-miR-377-3p;33;39;28;31;29;32;28;24;23;30
hsa-miR-378b;14;8;12;12;14;10;16;18;12;12
hsa-miR-378c;13;20;32;11;23;15;18;15;15;9
hsa-miR-378d;19;36;33;22;25;18;25;32;21;13
hsa-miR-378e;48;56;64;80;80;58;72;56;52;66
hsa-miR-378f;62;48;60;45;52;48;41;48;40;54
hsa-miR-378g;45;54;50;43;36;41;39;22;22;30
hsa-miR-378h;23;22;22;21;34;21;29;22;21;26
hsa-miR-378i;29;34;31;38;30;15;23;40;26;30
hsa-miR-379-5p;33;36;42;34;32;34;33;39;27;36
hsa-miR-380-3p;47;44;37;30;47;41;36;36;28;30
hsa-miR-381-3p;26;28;25;22;32;38;21;17;25;20
hsa-miR-381-5p;26;40;39;33;44;43;28;36;21;14
hsa-miR-382-3p;46;44;56;39;44;44;34;29;38;23
hsa-miR-382-5p;27;24;24;16;32;35;25;27;23;15
hsa-miR-383-5p;11;35;18;15;29;18;21;20;20;20
hsa-miR-384;31;49;27;30;36;52;33;35;41;28
hsa-miR-3916;14;20;21;17;14;14;24;30;21;13
hsa-miR-3918;28;51;17;37;29;40;33;32;31;25
hsa-miR-3928-3p;15;21;20;20;27;18;26;28;16;12
hsa-miR-3934-5p;21;18;33;25;21;23;28;27;24;26
hsa-miR-409-3p;39;59;25;33;47;59;41;53;29;33
hsa-miR-409-5p;23;22;21;18;19;18;15;20;16;18
hsa-miR-410-3p;24;26;25;22;25;22;36;27;25;25
hsa-miR-411-5p;45;64;80;65;67;69;50;65;68;60
hsa-miR-412-3p;24;47;34;28;27;28;31;32;21;29
hsa-miR-421;49;32;45;33;52;35;36;32;30;28
hsa-miR-422a;26;54;33;41;39;39;30;33;34;25
hsa-miR-423-3p;40;44;29;37;41;32;30;31;30;32
hsa-miR-423-5p;52;83;54;102;46;57;69;71;79;81
hsa-miR-424-5p;19;43;30;29;29;44;21;27;17;27
hsa-miR-425-5p;40;83;51;69;74;67;71;45;54;62
hsa-miR-4284;20;25;20;17;21;17;26;15;16;19
hsa-miR-4286;33;49;51;38;35;33;20;31;35;17
hsa-miR-429;38;29;35;28;43;41;35;32;43;34
hsa-miR-431-5p;31;49;9;21;36;44;22;29;25;15
hsa-miR-432-5p;19;34;31;28;28;29;17;27;22;31
hsa-miR-433-3p;37;55;41;30;52;39;24;36;30;26
hsa-miR-433-5p;27;24;29;18;25;32;22;32;20;22
hsa-miR-4421;30;51;36;35;34;30;29;35;42;31
hsa-miR-4425;41;48;51;32;36;30;28;38;40;31
hsa-miR-4431;34;34;38;21;35;40;29;22;27;28
hsa-miR-4435;45;53;24;38;43;64;40;38;40;31
hsa-miR-4443;68;58;62;45;50;56;72;47;36;31
hsa-miR-4448;20;31;21;17;23;23;11;15;21;14
hsa-miR-4451;21;24;20;15;25;22;19;16;22;14
hsa-miR-4454?miR-7975;52;59;57;65;52;64;56;65;71;55
hsa-miR-4455;45;72;47;54;60;54;54;53;44;45
hsa-miR-4458;22;24;33;26;25;26;16;25;13;25
hsa-miR-4461;28;32;34;21;27;19;26;30;23;35
hsa-miR-448;31;35;33;19;36;34;32;29;15;25
hsa-miR-4485-3p;27;23;32;28;33;21;18;28;15;15
hsa-miR-4488;28;34;42;33;33;42;39;23;30;21
hsa-miR-449a;21;22;28;28;26;25;17;18;17;12
hsa-miR-449b-5p;18;25;19;21;19;20;22;26;20;11
hsa-miR-449c-5p;26;19;21;23;27;25;16;22;23;12
hsa-miR-450a-1-3p;29;53;29;30;23;26;33;27;17;17
hsa-miR-450a-2-3p;31;32;33;41;38;40;31;31;23;26
hsa-miR-450a-5p;34;36;35;34;38;30;29;23;26;28
hsa-miR-450b-3p;19;23;20;23;20;20;28;31;19;15
hsa-miR-450b-5p;22;50;30;20;32;33;21;29;27;11
hsa-miR-4516;22;37;26;198;35;26;40;38;22;53
hsa-miR-451a;11923;73901;25771;40449;25916;13825;49384;38768;73279;58175
hsa-miR-452-5p;19;12;19;18;19;18;22;11;12;13
hsa-miR-4521;27;36;26;32;20;34;21;22;18;17
hsa-miR-4524a-5p;44;48;32;28;39;45;34;33;35;14
hsa-miR-4531;32;40;43;28;47;32;41;33;35;51
hsa-miR-4532;21;17;28;69;23;22;21;30;22;17
hsa-miR-4536-3p;18;37;24;25;32;33;20;28;18;11
hsa-miR-4536-5p;55;77;107;93;99;82;101;90;75;88
hsa-miR-454-3p;29;33;31;35;35;25;33;13;19;21
hsa-miR-455-3p;9;16;17;10;19;11;15;17;11;12
hsa-miR-455-5p;20;24;26;26;18;26;28;18;17;11
hsa-miR-4647;28;33;22;25;23;20;18;19;17;13
hsa-miR-4707-3p;34;23;38;38;30;23;28;25;22;26
hsa-miR-4707-5p;37;40;44;27;36;29;25;20;23;18
hsa-miR-4741;19;19;21;14;19;19;26;17;14;14
hsa-miR-4755-5p;30;31;42;15;34;46;30;33;21;19
hsa-miR-4787-3p;57;74;55;63;64;65;38;58;23;49
hsa-miR-4787-5p;32;30;38;25;30;29;39;29;23;23
hsa-miR-4792;16;18;22;14;36;22;27;29;22;13
hsa-miR-483-3p;15;18;23;19;32;21;18;25;16;17
hsa-miR-483-5p;10;21;15;16;13;17;17;19;16;11
hsa-miR-484;21;29;15;33;29;21;29;20;28;19
hsa-miR-485-3p;25;27;27;21;20;17;15;16;10;18
hsa-miR-485-5p;38;28;19;16;37;28;27;23;26;33
hsa-miR-486-3p;31;55;35;40;34;29;39;34;42;31
hsa-miR-487a-3p;30;40;30;15;29;33;21;26;15;20
hsa-miR-487b-3p;29;30;25;23;25;28;34;33;28;23
hsa-miR-487b-5p;18;25;32;20;23;20;22;10;17;18
hsa-miR-488-3p;31;27;23;17;30;18;23;21;21;19
hsa-miR-489-3p;25;30;39;34;36;32;45;43;23;35
hsa-miR-490-3p;12;19;19;6;17;18;22;21;10;14
hsa-miR-490-5p;29;54;30;33;37;32;29;24;26;15
hsa-miR-491-3p;46;76;42;48;70;69;48;51;35;47
hsa-miR-491-5p;32;95;41;63;47;45;54;62;60;53
hsa-miR-492;43;44;28;31;39;53;36;27;33;32
hsa-miR-493-3p;28;42;32;33;39;47;35;32;29;26
hsa-miR-494-3p;38;31;19;17;31;23;37;30;25;15
hsa-miR-494-5p;26;32;34;22;38;26;35;31;14;20
hsa-miR-495-3p;78;83;68;82;67;87;64;60;59;69
hsa-miR-495-5p;36;45;45;29;32;27;40;27;14;22
hsa-miR-496;71;96;113;107;133;97;84;93;83;137
hsa-miR-497-5p;16;19;30;27;20;26;29;18;22;22
hsa-miR-498;28;30;50;25;40;35;38;31;36;34
hsa-miR-499a-3p;19;22;35;22;36;21;19;17;16;16
hsa-miR-499a-5p;205;493;105;283;243;452;169;197;177;110
hsa-miR-499b-3p;18;27;21;19;23;24;18;28;18;15
hsa-miR-499b-5p;19;20;28;18;23;20;18;20;13;5
hsa-miR-5001-3p;26;26;37;26;36;25;34;30;33;23
hsa-miR-5001-5p;22;31;30;20;18;16;24;18;15;12
hsa-miR-500a-5p?miR-501-5p;25;42;20;30;31;62;37;22;32;19
hsa-miR-501-3p;30;29;32;37;40;32;32;22;24;25
hsa-miR-5010-3p;32;45;51;33;52;41;35;26;22;26
hsa-miR-5010-5p;28;46;20;19;31;31;32;24;22;17
hsa-miR-502-3p;24;39;28;26;33;35;22;27;29;29
hsa-miR-502-5p;16;23;30;21;28;20;24;25;12;21
hsa-miR-503-3p;21;25;36;16;36;21;30;27;20;14
hsa-miR-503-5p;25;23;23;40;38;24;29;21;22;25
hsa-miR-504-3p;33;35;28;27;36;35;28;26;15;22
hsa-miR-504-5p;26;49;25;37;28;39;20;18;21;16
hsa-miR-505-3p;22;51;17;25;29;27;28;28;32;28
hsa-miR-506-3p;40;131;56;63;55;60;78;51;68;66
hsa-miR-506-5p;37;51;40;41;35;33;37;36;32;31
hsa-miR-507;32;28;36;21;22;28;33;30;24;13
hsa-miR-508-3p;28;27;26;33;31;25;29;29;16;24
hsa-miR-508-5p;34;31;33;17;22;19;19;28;24;14
hsa-miR-509-3-5p;32;20;28;15;42;27;28;27;26;26
hsa-miR-509-3p;21;35;27;15;19;23;24;21;17;17
hsa-miR-509-5p;32;41;35;41;34;52;23;30;34;25
hsa-miR-510-3p;20;20;29;23;19;15;25;20;22;11
hsa-miR-510-5p;20;25;13;12;8;21;15;14;7;14
hsa-miR-511-5p;18;19;26;19;22;27;28;27;16;13
hsa-miR-512-3p;13;17;14;9;15;15;20;15;13;10
hsa-miR-512-5p;27;13;23;22;26;21;10;23;12;18
hsa-miR-513a-3p;43;44;38;34;40;45;44;36;24;28
hsa-miR-513a-5p;29;25;24;28;27;32;37;23;25;27
hsa-miR-513b-5p;46;115;53;72;64;66;64;59;64;49
hsa-miR-513c-3p;28;35;21;18;23;30;22;24;24;22
hsa-miR-513c-5p;75;60;81;66;70;64;82;68;61;41
hsa-miR-514a-3p;31;36;36;24;36;38;24;44;18;26
hsa-miR-514a-5p;35;82;35;50;51;52;47;58;57;50
hsa-miR-514b-3p;32;33;29;22;28;30;28;30;24;25
hsa-miR-514b-5p;35;43;32;35;32;35;27;34;22;17
hsa-miR-515-3p;29;15;29;19;29;25;22;19;17;19
hsa-miR-515-5p;16;23;16;31;21;21;17;31;21;25
hsa-miR-516a-3p?miR-516b-3p;17;19;23;13;26;20;28;25;16;13
hsa-miR-516a-5p;23;39;31;33;32;41;31;24;21;19
hsa-miR-516b-5p;31;61;37;48;37;57;32;37;40;37
hsa-miR-517a-3p;59;64;57;47;67;53;57;52;42;54
hsa-miR-517b-3p;8;24;25;12;16;17;21;18;10;9
hsa-miR-517c-3p?miR-519a-3p;21;22;30;12;19;16;26;28;16;12
hsa-miR-518b;83;110;108;86;107;102;94;92;84;94
hsa-miR-518c-3p;30;40;34;23;32;36;16;34;23;23
hsa-miR-518d-3p;32;57;29;33;40;47;30;27;19;21
hsa-miR-518e-3p;18;22;24;16;22;18;22;16;12;18
hsa-miR-518f-3p;31;28;19;22;17;24;34;24;22;20
hsa-miR-5196-3p?miR-6732-3p;26;38;32;22;33;31;28;32;25;20
hsa-miR-5196-5p;24;43;34;30;31;29;40;39;28;25
hsa-miR-519b-3p;33;56;28;45;26;53;40;30;31;25
hsa-miR-519b-5p?miR-519c-5p?miR-523-5p?miR-518e-5p?miR-522-5p?miR-519a-5p;24;27;24;22;25;34;30;19;20;25
hsa-miR-519c-3p;22;39;26;37;36;34;30;25;22;14
hsa-miR-519d-3p;45;48;58;41;53;30;36;35;41;34
hsa-miR-519e-3p;30;42;23;35;41;60;30;31;16;19
hsa-miR-520a-3p;11;17;12;14;9;13;12;19;16;7
hsa-miR-520a-5p;33;39;38;28;33;23;29;32;19;30
hsa-miR-520b;27;20;26;28;32;22;26;29;16;26
hsa-miR-520c-3p;31;24;29;21;25;19;31;27;18;15
hsa-miR-520d-3p;14;21;23;18;11;19;18;24;11;10
hsa-miR-520d-5p?miR-527?miR-518a-5p;18;52;25;45;34;37;35;30;30;31
hsa-miR-520e;15;18;21;13;14;10;28;18;14;8
hsa-miR-520f-3p;35;42;32;22;33;50;29;31;28;17
hsa-miR-520g-3p;23;28;22;20;29;17;24;18;19;17
hsa-miR-520h;52;50;45;33;37;32;39;41;39;32
hsa-miR-521;25;30;17;15;30;22;27;22;17;20
hsa-miR-522-3p;22;25;29;17;29;14;24;25;22;14
hsa-miR-523-3p;22;48;32;25;43;34;30;19;23;26
hsa-miR-524-3p;25;41;25;21;35;28;23;23;24;18
hsa-miR-525-3p;35;67;26;20;40;45;21;31;25;22
hsa-miR-525-5p;36;43;28;25;30;33;36;39;30;35
hsa-miR-526a?miR-518c-5p?miR-518d-5p;34;74;64;62;55;67;65;66;56;52
hsa-miR-526b-5p;33;49;37;24;40;37;35;42;25;26
hsa-miR-532-3p;28;37;34;17;27;19;27;25;23;23
hsa-miR-532-5p;37;78;41;56;38;56;40;50;34;27
hsa-miR-539-3p;23;36;31;34;27;12;33;27;17;20
hsa-miR-539-5p;27;44;30;34;25;24;33;21;27;25
hsa-miR-541-3p;15;12;15;16;20;15;20;16;6;3
hsa-miR-542-3p;29;33;43;26;29;26;29;22;17;31
hsa-miR-542-5p;25;27;19;16;21;20;16;15;11;17
hsa-miR-543;42;64;41;33;42;47;36;46;38;44
hsa-miR-544a;21;16;20;12;16;19;15;11;10;12
hsa-miR-545-3p;22;37;24;31;40;41;18;29;27;27
hsa-miR-548a-3p;32;50;22;43;23;39;22;28;12;20
hsa-miR-548a-5p;20;33;24;22;31;31;34;22;17;21
hsa-miR-548aa?miR-548t-3p;33;34;31;48;26;26;40;18;41;33
hsa-miR-548ad-3p;33;33;27;11;32;26;18;27;20;29
hsa-miR-548ah-5p;41;35;43;37;40;38;34;40;23;30
hsa-miR-548ai?miR-570-5p;43;48;57;51;47;51;33;49;39;39
hsa-miR-548ak;20;28;17;29;31;27;18;25;24;21
hsa-miR-548al;52;41;76;50;45;61;53;49;55;27
hsa-miR-548ar-3p;45;62;45;41;58;49;48;40;34;36
hsa-miR-548ar-5p;53;91;120;102;133;120;118;116;97;118
hsa-miR-548b-3p;17;28;20;11;22;20;16;12;21;15
hsa-miR-548c-5p?miR-548o-5p?miR-548am-5p;24;17;17;6;17;13;20;13;9;9
hsa-miR-548d-3p;14;30;33;29;21;25;29;22;31;36
hsa-miR-548d-5p;29;44;26;26;35;45;35;31;27;26
hsa-miR-548e-3p;25;49;23;37;23;43;24;18;24;15
hsa-miR-548e-5p;44;57;36;46;39;35;39;25;41;48
hsa-miR-548g-3p;25;29;28;26;26;19;29;21;16;21
hsa-miR-548h-5p;31;26;20;21;25;22;23;31;26;13
hsa-miR-548i;19;22;24;14;18;17;21;24;7;27
hsa-miR-548j-3p;41;86;31;41;34;82;31;40;47;40
hsa-miR-548j-5p;27;24;23;19;29;26;26;28;13;32
hsa-miR-548k;21;28;29;23;28;33;28;24;22;18
hsa-miR-548l;20;48;22;44;43;48;35;35;15;29
hsa-miR-548m;27;20;29;14;15;24;23;20;16;11
hsa-miR-548n;23;55;34;49;43;59;23;22;31;27
hsa-miR-548o-3p?miR-548ah-3p?miR-548av-3p;37;41;31;30;38;42;21;28;22;23
hsa-miR-548q;24;32;32;46;49;47;33;29;25;30
hsa-miR-548v;32;32;30;30;34;28;34;25;25;28
hsa-miR-548y;30;55;33;25;37;39;33;28;29;25
hsa-miR-548z?miR-548h-3p;26;32;35;35;33;22;34;31;19;27
hsa-miR-549a;36;36;42;32;39;39;31;47;37;47
hsa-miR-550a-5p;27;40;32;38;35;38;36;42;37;27
hsa-miR-551a;43;41;58;45;29;43;45;27;36;29
hsa-miR-551b-3p;38;40;38;23;29;30;28;19;29;30
hsa-miR-552-3p;34;33;39;34;21;28;31;33;36;33
hsa-miR-553;60;141;46;92;76;117;55;57;48;46
hsa-miR-554;14;15;15;13;17;12;11;14;18;8
hsa-miR-555;22;22;23;19;15;17;19;12;11;19
hsa-miR-556-3p;37;41;29;40;33;38;34;30;22;27
hsa-miR-556-5p;33;28;43;24;29;29;28;27;15;23
hsa-miR-561-3p;43;57;40;34;37;47;32;26;34;33
hsa-miR-561-5p;39;35;36;22;29;28;21;35;22;21
hsa-miR-562;14;12;17;10;13;17;5;16;13;10
hsa-miR-563;31;41;37;33;35;30;36;31;15;13
hsa-miR-564;13;10;21;13;19;21;22;13;19;17
hsa-miR-566;33;38;33;33;24;30;41;32;32;29
hsa-miR-567;44;70;31;54;58;56;41;32;40;27
hsa-miR-568;23;75;23;41;33;57;28;25;35;22
hsa-miR-570-3p;32;52;32;32;42;48;39;30;37;28
hsa-miR-571;28;33;38;22;32;33;24;36;22;16
hsa-miR-572;30;35;29;32;42;26;38;28;20;19
hsa-miR-573;31;24;27;26;32;24;22;26;24;17
hsa-miR-574-3p;32;27;30;24;34;20;30;32;34;12
hsa-miR-574-5p;29;42;41;124;52;51;41;48;40;36
hsa-miR-575;22;23;26;32;32;33;20;19;9;29
hsa-miR-576-3p;18;24;31;14;21;22;21;18;11;11
hsa-miR-576-5p;36;80;42;55;69;78;60;61;48;47
hsa-miR-577;15;14;11;15;21;13;11;13;11;3
hsa-miR-578;18;25;17;18;28;30;19;20;19;15
hsa-miR-579-3p;1;1;1;1;1;1;1;1;1;1
hsa-miR-579-5p;30;29;26;22;24;26;20;23;21;18
hsa-miR-580-3p;25;26;18;30;36;35;20;20;26;14
hsa-miR-582-3p;20;11;27;15;14;12;15;13;9;9
hsa-miR-582-5p;25;31;23;24;25;12;29;22;19;17
hsa-miR-584-3p;35;47;39;30;39;30;33;30;18;27
hsa-miR-584-5p;42;36;32;37;43;36;42;35;25;33
hsa-miR-585-3p;34;57;64;38;58;36;48;45;34;39
hsa-miR-587;20;44;41;30;37;37;42;22;33;35
hsa-miR-589-5p;37;30;37;17;24;20;25;24;17;23
hsa-miR-590-3p;38;45;38;29;42;34;25;35;21;33
hsa-miR-590-5p;31;38;49;41;43;29;37;37;33;31
hsa-miR-591;28;26;24;23;34;16;26;30;22;14
hsa-miR-592;22;19;21;27;22;16;27;27;19;18
hsa-miR-593-3p;28;26;30;30;26;30;26;23;25;22
hsa-miR-595;40;37;40;35;31;33;36;44;39;17
hsa-miR-596;31;43;31;28;36;48;36;28;32;28
hsa-miR-597-5p;55;41;50;41;59;40;43;43;50;58
hsa-miR-598-3p;170;109;176;132;159;125;132;127;99;95
hsa-miR-599;16;17;26;16;15;13;16;18;10;11
hsa-miR-600;6;10;17;12;20;15;19;13;10;12
hsa-miR-601;40;64;32;65;59;52;33;45;34;40
hsa-miR-603;33;32;34;27;32;43;30;31;22;25
hsa-miR-604;15;18;21;13;32;24;25;27;12;16
hsa-miR-605-5p;30;38;30;25;31;26;30;24;32;26
hsa-miR-606;18;20;30;19;21;25;13;16;16;12
hsa-miR-607;56;49;41;48;32;41;45;32;48;45
hsa-miR-608;29;19;27;23;38;20;30;27;18;21
hsa-miR-610;45;77;42;56;66;45;44;64;52;57
hsa-miR-612;52;94;49;66;71;83;63;45;51;44
hsa-miR-613;27;61;34;43;45;49;23;25;26;21
hsa-miR-614;22;19;16;25;35;20;28;21;17;11
hsa-miR-615-3p;32;50;34;27;40;36;45;29;31;29
hsa-miR-615-5p;30;41;24;38;31;43;25;30;32;20
hsa-miR-616-3p;18;20;23;20;16;25;17;24;21;19
hsa-miR-617;38;50;24;31;29;48;40;30;22;34
hsa-miR-619-3p;29;57;31;45;37;45;31;30;22;31
hsa-miR-620;22;23;31;30;31;32;31;20;28;16
hsa-miR-624-3p;24;20;30;25;28;24;25;22;21;21
hsa-miR-625-5p;24;29;32;35;31;19;36;20;20;23
hsa-miR-626;44;40;48;40;48;46;30;40;25;40
hsa-miR-627-3p;40;41;42;55;46;38;50;54;25;34
hsa-miR-627-5p;34;37;42;37;36;44;48;36;34;30
hsa-miR-628-3p;21;15;12;15;16;8;10;13;5;11
hsa-miR-628-5p;15;27;19;17;26;18;27;25;16;14
hsa-miR-629-5p;17;26;26;25;26;19;17;32;26;11
hsa-miR-630;84;122;94;1051;84;67;88;137;123;130
hsa-miR-631;26;33;33;22;18;21;32;22;26;16
hsa-miR-637;20;21;22;17;13;23;19;22;6;7
hsa-miR-638;38;48;40;44;39;48;39;36;30;29
hsa-miR-639;26;24;44;23;31;14;26;18;20;16
hsa-miR-640;26;38;41;31;38;26;45;32;43;31
hsa-miR-641;37;43;29;20;29;24;23;16;16;29
hsa-miR-642a-3p;27;23;30;27;22;22;30;27;16;24
hsa-miR-642a-5p;24;22;33;23;24;17;25;23;14;15
hsa-miR-643;36;38;39;28;40;38;37;37;27;37
hsa-miR-644a;33;26;26;33;27;21;29;36;20;30
hsa-miR-648;71;70;62;40;68;49;42;63;38;47
hsa-miR-649;18;18;13;13;6;15;18;13;16;12
hsa-miR-650;23;26;22;11;17;12;25;16;12;11
hsa-miR-6503-3p;33;45;31;43;38;39;38;36;29;29
hsa-miR-6503-5p;29;30;33;26;30;31;30;33;26;22
hsa-miR-651-3p;22;27;24;17;31;11;15;18;12;13
hsa-miR-651-5p;43;44;51;49;54;40;38;40;24;38
hsa-miR-6511a-3p;15;10;24;12;17;12;28;10;13;10
hsa-miR-6511a-5p;24;19;25;11;15;12;23;28;15;20
hsa-miR-652-3p;19;18;23;16;15;18;20;19;14;18
hsa-miR-652-5p;24;21;22;18;17;21;20;14;14;14
hsa-miR-654-3p;52;56;30;44;55;59;41;41;37;42
hsa-miR-654-5p;28;35;27;23;28;38;30;27;26;21
hsa-miR-655-3p;20;24;32;25;32;20;20;20;17;10
hsa-miR-656-3p;28;39;39;32;34;37;34;17;28;32
hsa-miR-660-3p;18;32;24;27;23;22;27;17;14;13
hsa-miR-660-5p;16;27;23;19;19;17;29;20;24;15
hsa-miR-661;26;22;30;22;25;28;24;30;14;17
hsa-miR-663a;28;44;31;31;42;36;30;35;29;33
hsa-miR-664a-3p;32;36;28;31;33;31;28;32;25;29
hsa-miR-664b-3p;44;33;37;34;47;25;30;34;20;35
hsa-miR-664b-5p;19;18;34;23;22;17;18;21;13;15
hsa-miR-665;24;30;32;26;30;29;30;17;27;15
hsa-miR-671-3p;18;36;25;28;31;32;24;25;22;19
hsa-miR-671-5p;23;27;29;14;23;20;25;20;16;15
hsa-miR-6720-3p;23;20;21;25;30;21;13;10;18;11
hsa-miR-6721-5p;136;84;116;84;104;109;86;79;78;62
hsa-miR-6724-5p;28;30;44;30;35;35;35;32;31;28
hsa-miR-675-5p;20;21;29;34;29;28;26;26;19;19
hsa-miR-7-5p;38;62;39;49;40;33;56;55;46;45
hsa-miR-708-5p;22;32;25;28;32;37;21;20;19;16
hsa-miR-744-5p;54;33;43;47;39;45;55;33;33;34
hsa-miR-758-3p?miR-411-3p;66;43;43;42;52;63;54;47;42;30
hsa-miR-758-5p;23;21;31;14;17;19;16;10;9;18
hsa-miR-760;12;15;23;16;12;14;24;14;18;10
hsa-miR-761;75;47;84;54;68;75;86;80;62;36
hsa-miR-764;29;58;51;31;45;31;47;31;40;40
hsa-miR-765;27;40;35;28;33;27;32;23;30;34
hsa-miR-766-3p;29;40;25;34;33;28;28;36;25;30
hsa-miR-766-5p;14;21;20;18;20;28;27;13;21;13
hsa-miR-767-3p;20;46;22;36;32;32;44;18;26;12
hsa-miR-767-5p;33;51;38;29;39;34;40;35;28;19
hsa-miR-769-3p;9;20;17;16;19;17;19;13;14;14
hsa-miR-769-5p;46;55;58;57;51;52;50;48;43;38
hsa-miR-770-5p;36;23;17;27;42;36;45;33;28;32
hsa-miR-802;38;31;30;24;25;25;29;29;7;16
hsa-miR-873-3p;710;525;772;585;721;714;648;658;563;490
hsa-miR-873-5p;21;38;20;45;37;38;49;21;30;20
hsa-miR-874-3p;30;23;34;21;32;30;25;29;21;15
hsa-miR-874-5p;37;78;32;43;64;48;52;40;40;39
hsa-miR-875-3p;38;69;24;47;40;47;28;24;25;31
hsa-miR-876-3p;31;42;21;37;33;39;20;41;19;19
hsa-miR-876-5p;17;21;19;9;29;15;18;22;12;12
hsa-miR-877-5p;18;21;48;34;37;37;32;31;39;30
hsa-miR-885-3p;17;17;25;14;23;16;20;18;11;11
hsa-miR-885-5p;15;16;25;25;20;20;28;42;21;13
hsa-miR-887-3p;24;40;28;29;32;38;20;25;17;25
hsa-miR-887-5p;41;36;34;22;29;31;19;20;28;28
hsa-miR-888-5p;32;40;41;28;41;19;41;31;19;30
hsa-miR-889-3p;20;22;21;25;24;20;16;20;15;16
hsa-miR-890;27;41;25;32;23;45;29;39;22;21
hsa-miR-891a-5p;28;33;44;25;29;29;33;18;28;19
hsa-miR-891b;31;31;32;24;30;29;37;34;23;21
hsa-miR-892a;31;67;48;52;39;39;41;32;32;33
hsa-miR-892b;32;24;29;33;26;20;28;28;19;23
hsa-miR-9-5p;17;16;26;17;16;15;22;20;13;13
hsa-miR-922;29;47;31;35;32;32;42;22;28;30
hsa-miR-924;26;10;13;19;13;8;11;13;8;10
hsa-miR-92a-1-5p;27;36;22;18;21;24;22;27;22;23
hsa-miR-92a-3p;69;143;113;128;96;66;117;87;192;166
hsa-miR-92b-3p;17;24;23;18;26;27;30;28;14;23
hsa-miR-93-5p;73;173;104;229;110;80;180;108;197;140
hsa-miR-933;36;48;24;27;36;28;39;33;19;17
hsa-miR-934;14;17;28;20;30;15;20;9;15;12
hsa-miR-935;23;52;15;41;20;34;30;32;17;12
hsa-miR-936;30;34;39;33;37;32;29;29;25;34
hsa-miR-937-3p;22;33;16;27;20;21;22;22;14;16
hsa-miR-939-5p;35;44;44;38;32;33;47;35;27;29
hsa-miR-940;52;63;35;30;28;51;41;36;38;22
hsa-miR-941;24;18;17;14;22;20;25;24;19;12
hsa-miR-942-3p;21;44;27;26;22;26;25;14;25;19
hsa-miR-942-5p;28;28;24;16;16;16;16;20;15;12
hsa-miR-944;35;56;30;35;31;49;27;25;25;23
hsa-miR-95-3p;28;31;30;37;32;43;42;37;22;27
hsa-miR-96-5p;18;31;30;23;22;25;22;24;24;22
hsa-miR-98-3p;30;41;25;36;38;42;14;30;22;21
hsa-miR-98-5p;40;80;40;59;65;77;44;46;44;31
hsa-miR-99a-5p;25;22;23;28;30;27;25;16;29;22
hsa-miR-99b-5p;33;33;37;28;31;40;35;29;21;16
